keyword,cluster_id,paper_id,title,review_role,own_centroid_similarity,nearest_other_centroid_similarity,assignment_margin,assignment_status,reviewer_accept_membership_yes_no,reviewer_suggested_cluster_id,reviewer_cluster_coherent_yes_no,reviewer_granularity_too_coarse_ok_too_fine,reviewer_notes
Design Guidelines,DG-C01,f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,representative+boundary,0.8782225847244263,0.7773405313491821,0.10088205337524414,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C01,ee0a5b26f6dc,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,representative+boundary,0.9009275436401367,0.7915357351303101,0.10939180850982666,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C01,00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",representative+boundary,0.9110560417175293,0.7975445985794067,0.11351144313812256,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C02,cb7daae2b94f,User Experience Design in Professional Map-Based Geo-Portals,representative+boundary,0.856529712677002,0.7705602645874023,0.08596944808959961,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C02,0ef759265f23,The equitable use concept in sidewalk design,representative+boundary,0.8726941347122192,0.7855865955352783,0.08710753917694092,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C02,0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,representative+boundary,0.8604910373687744,0.7499206066131592,0.11057043075561523,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,d0a17557440f,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,boundary,0.8681892156600952,0.7784460783004761,0.08974313735961914,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,representative,0.9167779088020325,0.822083592414856,0.09469431638717651,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,75f43821c56f,Towards a Model of Information Aesthetics in Information Visualization,representative+boundary,0.8752593994140625,0.8329919576644897,0.042267441749572754,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,0842498049c7,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,representative+boundary,0.8744179010391235,0.7820965647697449,0.09232133626937866,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,b357bc5a3d3b,Towards Canonical Task Types for User Interface Design,boundary,0.8772123456001282,0.8117148280143738,0.0654975175857544,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,139a1e71d8dc,Separation of Modeling Principles and Design Principles in Enterprise Engineering,representative,0.889600932598114,0.780687153339386,0.10891377925872803,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,b14f85b19a87,Design Study Methodology: Reflections from the Trenches and the Stacks,representative+boundary,0.8798620700836182,0.8490839600563049,0.030778110027313232,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,c216cc01fe23,A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions,representative+boundary,0.8868316411972046,0.820502758026123,0.06632888317108154,numeric_rule_failed_requires_review,,,,,
Design Heuristics,DH-C01,cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,boundary,0.9145709276199341,0.7919335961341858,0.12263733148574829,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,boundary,0.8884071111679077,0.757034957408905,0.13137215375900269,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,boundary,0.920232892036438,0.7879064083099365,0.13232648372650146,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,representative,0.9492373466491699,0.8048799633979797,0.14435738325119019,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,9f4dbd790fe7,Design Heuristics in Innovative Products,representative,0.9642798900604248,0.8010610342025757,0.16321885585784912,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,cdd6de21b74b,Evidence-based design heuristics for idea generation,representative,0.9583163261413574,0.785367488861084,0.17294883728027344,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C02,994d28d55eb8,From human factors to human actors to human crafters,representative+boundary,0.8855217695236206,0.7990091443061829,0.08651262521743774,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C02,0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,representative+boundary,0.9726121425628662,0.8017857670783997,0.17082637548446655,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C02,c6955d14d66c,Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception,representative+boundary,0.9677662253379822,0.7887157201766968,0.1790505051612854,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C01,b42559e0a5d5,ICT Systems Security and Privacy Protection,boundary,0.737543523311615,0.7203006148338318,0.017242908477783203,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C01,2efb92894924,Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems,boundary,0.8866029977798462,0.8685662150382996,0.01803678274154663,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C01,774e05395765,Understanding and using patterns in software development,representative,0.9342482686042786,0.9043965339660645,0.02985173463821411,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C01,f1a4dde3d156,Catalogue of general-purpose software design patterns,representative,0.9318524599075317,0.8729538917541504,0.05889856815338135,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C01,b967c3a334ff,Industrial experience with design patterns,representative+boundary,0.9291471242904663,0.9202824831008911,0.008864641189575195,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C02,c7afdd089fdd,Toward patterns for collaborative knowledge creation,boundary,0.8824664950370789,0.8802738189697266,0.002192676067352295,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C02,cd42a6611470,"Principles, patterns, and techniques for designing and implementing practical fluent interfaces in Java",boundary,0.7809327840805054,0.7584061622619629,0.02252662181854248,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C02,098637c0f9ae,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,boundary,0.8876006603240967,0.8646334409713745,0.022967219352722168,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C02,8393d36cff90,An overview of human-computer interaction patterns in pervasive systems,representative,0.9272706508636475,0.8948758840560913,0.03239476680755615,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C02,77ba97562fe7,Teachers’ Collaborative Pattern Language Design,representative,0.9183739423751831,0.8819819092750549,0.036392033100128174,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C02,242644458c6e,A pattern approach to interaction design,representative,0.9522626996040344,0.9036320447921753,0.04863065481185913,numerically_selected_pending_human_veto,,,,,
Design Rules,DRUL-C01,f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",representative+boundary,0.8988999128341675,0.9030822515487671,-0.004182338714599609,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C01,dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,representative+boundary,0.8906714916229248,0.7900815010070801,0.10058999061584473,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C01,5c096c480387,User interfaces of information retrieval systems and user friendliness,representative+boundary,0.8948997259140015,0.7865241169929504,0.10837560892105103,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,8aeb26c1e21d,Steps toward a cognitive engineering: Design rules based on analyses of human error,boundary,0.8892227411270142,0.8404870629310608,0.04873567819595337,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,ba03a17bc120,"The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps",boundary,0.8462069034576416,0.7821640968322754,0.06404280662536621,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,cf2ee8097a06,"Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones",representative,0.8913437128067017,0.8171051740646362,0.07423853874206543,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,6f114a6d29d1,Toward a Conceptualization of Organizational Modularity,representative,0.8932855129241943,0.7857718467712402,0.1075136661529541,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,2a22a314dcfb,Studying Software Architecture Through Design Spaces and Rules,representative+boundary,0.9059799909591675,0.8408515453338623,0.06512844562530518,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C01,660ca24145b2,The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,representative+boundary,0.9305855631828308,0.7898544073104858,0.14073115587234497,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C01,1e7ab64c6cf9,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,representative+boundary,0.9305856227874756,0.7724609971046448,0.1581246256828308,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,560be0c20de7,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",boundary,0.8711845278739929,0.7559612989425659,0.115223228931427,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",representative,0.9499846696853638,0.7611207962036133,0.1888638734817505,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,268903a30da5,Systematic Review of Systemic Design Frameworks for Complex Challenges,representative+boundary,0.8927433490753174,0.7946693897247314,0.09807395935058594,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,e09769771b82,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games",representative+boundary,0.9532299637794495,0.7665441036224365,0.18668586015701294,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,9d158233f041,Guidelines supporting the formulation of design principles,boundary,0.9133511185646057,0.9197288155555725,-0.006377696990966797,numeric_rule_failed_requires_review,,,,,
