paper_id,title,status,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason
425cad2aba7c,Design Guidelines and Examples,missing_pdf,B. Shneiderman,"Successful designs are comprehensible, predictable, and controllable, thereby increasing the users’ self-efficacy, leading to reliable, safe, and trustworthy systems. These successes require careful design of the fine structure of interaction, which emerges from validated theories, clear principles, and actionable guidelines. In turn, this knowledge becomes easy to apply when it is embedded in programming tools that favor human control. The examples clarify the key ideas of supporting users to express their intent through visual interfaces (although auditory and haptic interfaces are also valuable in many situations and for users with disabilities). These designs give users informative feedback about the machine state, with progress indicators and completion reports, thereby giving users meaningful control.",,2022,Human-Centered AI,https://www.semanticscholar.org/paper/48814299c7a7b6cbb6072c1a2afd03eb0ab7b7b4,Design Guidelines,design_guidelines.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,"Synthesizes theories, principles, and actionable guidelines as a form of design knowledge and articulates definitions of what makes successful design, satisfying C2 and C3.","The paper develops a design framework for metacognition from existing literature and cases, which is a synthesis/categorization of design-relevant knowledge, but the abstract does not clearly provide or adapt a definition of the construct."
cb5bf6a78d8e,From surface realism to training considerations: a proposal for changing the focus in the design of training systems,missing_pdf,Pooyan Doozandeh,"Abstract Traditionally, it was believed that realistic, high-fidelity simulation could result in effective training-systems. By showing the potentials of low-fidelity simulations, numerous research projects cast doubt on the traditional belief in high-fidelity simulation. Because the construct of fidelity has guided the training-system design for decades, a growing disbelief in fidelity has created a void in design, leaving designers without resources in their decision-making. This article first presents a historical review that shows how fidelity has been used in research and design, and how it was later challenged by researchers. Then, in filling the void of fidelity, attempts at providing design guidelines, such as trainee- and task-analysis, are reviewed and their strengths and limitations are discussed. Toward the end, the lessons from the review are used to call for the creation of design methods. An example of such a method is discussed that uses the videorecording of expert performance as a resource in design.",,2020,Theoretical Issues in Ergonomics Science,https://www.semanticscholar.org/paper/ccf1364334d003c0962a2718b0cd994071ef0106,Design Guidelines,design_guidelines.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Reviews the historical use of the fidelity construct in training-system design and proposes a refocused design approach, plausibly synthesizing and redefining a design construct, warranting full-text review.","The abstract reports a historical review of how fidelity has been used in research and design of training systems, indicating synthesis of a design-related construct, but any explicit adapted or original definition is not clear from the abstract alone."
73a3c35d8872,Decision and design heuristics in the context of entrepreneurial uncertainties,missing_pdf,Antoine Gilbert-Saad; F. Siedlok; R. McNaughton,"Building on a perspective of the entrepreneur as an interpretive agent, we argue that in situations where there is absolute uncertainty, heuristics are useful design rules that aid entrepreneurs’ judgment by synthesizing mental models and expectations to enable purposeful action. This is because decisions under absolute uncertainty pertain to subjective judgments of both outcomes and options. In contrast, objectively rational decision heuristics are useful under predictable risk. Our argument provides balance to the extant literature, which, due to the overemphasis on biases and an unrealistic view of uncertainty in entrepreneurial decision making, often overlooks the positive role of heuristics.",,2018,Journal of Business Venturing Insights,https://www.semanticscholar.org/paper/7d46b7db8364a802357c3be1188036b086b56634,Design Heuristics,design_heuristics.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Theoretically discusses decision and design heuristics as design rules and offers a conceptual definition of heuristics under uncertainty, plausibly satisfying C2 and C3; flagged for full-text verification.","The paper appears to conceptually define heuristics as design rules for entrepreneurial action under absolute uncertainty, but the abstract does not indicate a synthesis or categorization from prior literature."
ba2ae8bf282a,Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team,missing_pdf,Kenton B. Fillingim; R. O. Nwaeri; Felipe Borja; Katherine K. Fu; C. Paredis,"This study offers insight into the processes of expert designers at the Jet Propulsion Laboratory (JPL) and how they use heuristics in the design process. A methodology for the extraction, classification, and characterization of heuristics is presented. Ten expert participants were interviewed to identify design heuristics used during early stage space mission design at JPL. In total, 101 heuristics were obtained, classified, and characterized. The use of interviews to extract heuristics allowed for researchers to confirm that those heuristics were indeed used by designers. Through the use of post-interview surveys, participants characterized heuristics based on attributes including source/origin, applicability based on concept maturity, frequency of use, reliability, and tendency to evolve. These findings are presented, and statistically significant correlations were found between the participant perceptions of frequency of use, reliability, and evolution of a heuristic. A positive correlation was found between frequency of use and reliability while negative correlations were found between frequency of use and evolution, and reliability and evolution. Survey results and analysis aim to identify valid attributes for assessing the applicability and value of multiple heuristics for design practice in early space mission formulation.",,2019,Journal of Mechanical Design,https://www.semanticscholar.org/paper/ab12c1c5509ef1f29591aa494b4754491b42b8ee,Design Heuristics,design_heuristics.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Presents a methodology to extract, classify, and characterize design heuristics from expert designers, satisfying C2 and likely defining heuristics in context, so flagged to confirm C3.","Studies extraction and classification of design heuristics from expert interviews, making design heuristics central, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed."
be21cd0985cf,Design heuristics: A conceptual framework and preliminary method for extraction,missing_pdf,"Lee, Bumsoo (1); Fillingim, Kenton B. (1); Binder, William R. (1); Fu, Katherine (1); Paredis, Christiaan J. J. (1)","In designing complex systems, systems engineers strive to turn an existing situation into a situation that is most preferred. A rational decision maker would choose the alternative that maximizes the expected utility of the existing situation, but there are significant computational challenges to this approach. To overcome these challenges, most decision makers revert to heuristics. In this paper, we propose a conceptual framework for heuristics in design. A preliminary empirical study of designers for a robotics design problem was conducted to observe how participants apply heuristics. Participants having at least 2 years of experience designing robots were recruited to partake in a robotics design session in which participant were given 45 minutes to work on a design problem. A preliminary heuristics extraction method was developed, and the identified heuristics were studied to find trends within the overall set. These trends were the basis of a taxonomy of heuristics consisting of three initial classification methods: design phase, field of study, and action intent. The heuristics and classifications are presented, along with the challenges from extracting heuristics and recommendations for future work to further research design heuristics and to improve the method for extraction. Copyright © 2017 ASME.",10.1115/DETC2017-67467,2017,Proceedings of the ASME Design Engineering Technical Conference,,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,"Proposes a conceptual framework for design heuristics and a method for extracting them, defining the construct and synthesizing it, satisfying C2 and C3.","The paper treats design heuristics as its topic and explicitly glosses them as 'rules of thumb,' but the abstract describes deriving heuristics from award-winning products rather than synthesizing them from prior bodies of work, so C2 is not met."
95202402b15a,Enhancing creativity with domain-specific design heuristics for digital product innovation,missing_pdf,Xiaoneng Jin; Hua Dong; Mark Evans,"Abstract A key challenge for product designers is the generation of creative ideas that meet the functional and usability requirements of clients and users. This challenge has been further compounded by the opportunities arising from the integration of digital technologies. To enhance creativity in design practice, we proposed a domain-specific DHS, supported by a novel framework, to specifically aid the concept generation phase. Using this framework, DHS10 was developed specifically for digital innovation, based on the analysis of 583 award-winning concept designs in the field of digital innovation. An empirical evaluation study investigated the effectiveness and advantages of this tool. The findings suggest that DHS10 can serve as an effective ideation tool, helping design students generate a higher number of innovative and diverse concepts for digital innovation while reducing design fixation.",,2025,The Design Journal,https://www.semanticscholar.org/paper/247fef9f223d8fed6ecccf1329633c543a3dabbe,Design Heuristics,design_heuristics.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Develops a domain-specific design heuristics set and framework based on analysis of 583 award-winning designs, synthesizing and defining heuristics for digital innovation, satisfying C2 and plausibly C3.","The paper develops domain-specific design heuristics and a framework from analysis of award-winning concepts, but the abstract emphasizes creating a heuristic aid rather than clearly synthesizing prior bodies of work or defining the construct, so full text is needed."
56dcde0a4f35,THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.,missing_pdf,"Koen, B.V. (1)","For purposes of this article the Engineering Method will be defined as the use of engineering heuristics to cause the best change in a poorly understood situation within the available resources. In this widely accepted definition of engineering, the word heuristic is taken as anything that provides a plausible aid or direction in the solution of a problem but is in the final analysis unjustified, incapable of justification, and fallible. A convenient near-synonym for the heuristic is the engineering rule of thumb. Since a single heuristic is seldom used by an engineering in isolation, we define a second important technical term the state-of-the-art as a collection of heuristics appropriate for the design of a specific product at a given time. The objective of the present article is to compare engineering design in various countries using the given definitions of engineering method and state-of-the-art. Specific examples will be given of engineering design heuristics that are different in Russia, England, France, Japan, and the United States. This comparison forms a defensible basis upon which to define such important terms as international competitiveness, productivity, technology transfer, and relative technological advance.",,1987,,,Design Heuristics,design_heuristics.csv,engineering_village,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,"Defines the engineering method and heuristics as its topic, providing explicit definitions of heuristics/rules of thumb, satisfying both C2 and C3.","The abstract explicitly defines the Engineering Method and heuristics/rules of thumb, satisfying C3, but from the truncated abstract it is unclear whether the paper synthesizes or categorizes design knowledge from prior literature, so C2 cannot be confirmed without full text."
87b9ed85521c,A language-independent and formal approach to pattern-based modelling with support for composition and analysis,missing_pdf,"Bottoni, Paolo (1); Guerra, Esther (2); De Lara, Juan (3)","Context: Patterns are used in different disciplines as a way to record expert knowledge for problem solving in specific areas. Their systematic use in Software Engineering promotes quality, standardization, reusability and maintainability of software artefacts. The full realisation of their power is however hindered by the lack of a standard formalization of the notion of pattern. Objective: Our goal is to provide a language-independent formalization of the notion of pattern, so that it allows its application to different modelling languages and tools, as well as generic methods to enable pattern discovery, instantiation, composition, and conflict analysis. Method: For this purpose, we present a new visual and formal, language-independent approach to the specification of patterns. The approach is formulated in a general way, based on graphs and category theory, and allows the specification of patterns in terms of (nested) variable submodels, constraints on their allowed variance, and inter-pattern synchronization across several diagrams (e.g. class and sequence diagrams for UML design patterns). Results: We provide a formal notion of pattern satisfaction by models and propose mechanisms to suggest model transformations so that models become consistent with the patterns. We define methods for pattern composition, and conflict analysis. We illustrate our proposal on UML design patterns, and discuss its generality and applicability on different types of patterns, e.g. workflow patterns, enterprise integration patterns and interaction patterns. Conclusion: The approach has proven to be powerful enough to formalize patterns from different domains, providing methods to analyse conflicts and dependencies that usually are expressed only in textual form. Its language independence makes it suitable for integration in meta-modelling tools and for use in Model-Driven Engineering. © 2010 Elsevier B.V. All rights reserved.",10.1016/j.infsof.2010.03.005,2010,Information and Software Technology,,Design Patterns,design_patterns.csv,engineering_village,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,"Explicitly aims to formalize and provide a language-independent definition of the notion of pattern as recorded expert knowledge, satisfying both the synthesis/definition of the construct (C2) and an original formal definition (C3).","Its main contribution is a formal, language-independent modeling approach for pattern composition and analysis, advancing a technical method rather than understanding design knowledge as the object of study."
1744134ec197,A pattern language for designing innovative projects: project design patterns,missing_pdf,Takashi Iba; Haruka Mori; Ayaka Yoshikawa,"In this paper, we present a pattern language for sharing practical knowledge to design innovative projects, which we call project design patterns. This pattern language consists of 32 patterns about designing projects, which are organised into five categories: core, learn, create, live, and pleasure. This collection of practical knowledge behind designing projects was created through a mining process of interviewing professional project designers, organising the mined elements using the KJ method (a method for clustering ideas named based on the initials of its originator), and writing the information in the pattern format: pattern name, illustration, context, problem, solution, and consequence. This paper presents three patterns in full as well as summaries of all 32 patterns. Survey results and responses of workshop participants and users, presented in the later sections of the paper, provide exploratory data which testify to the potential power of the proposed language for thinking, reflection, and dialogue on designing innovative projects.",,2019,International Journal of Entrepreneurship and Small Business,https://www.semanticscholar.org/paper/ee386b03d67c8663f4dc586aa43dfd653f88cdef,Design Patterns,design_patterns.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,"Synthesizes practical design knowledge into a pattern language of 32 categorized patterns mined from professionals, satisfying C2, and defines its own construct 'project design patterns' for the work.","The abstract centers on generalizing phenotype extraction approaches into design patterns and explicitly defines design patterns in context, indicating both synthesis of prior work and an adapted definition."
b458715f3f4e,AntiPatterns,missing_pdf,"McCormick, H.W.; Malveaux, R.","The emergence of the design patterns movement has gone a long way toward codifying a concise terminology for conveying sophisticated computer science thinking. Still, the likelihood of success for practising managers and developers is grim. While we can assume that all software was intended to solve some problem, these solutions are sometimes as bad as (or worse than) the problem they originally were intended to solve. It is these repeated failures, or negative solutions, that provide the source for the study of what we call “AntiPatterns”. The paper discusses AntiPatterns versus design patterns, components of AntiPatterns and the Stovepipe system AntiPattern.",,,Dr. Dobb's Journal,,Design Patterns,design_patterns.csv,engineering_village,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Introduces and defines the AntiPatterns construct in relation to design patterns, codifying a category of design knowledge, satisfying C2 and likely C3.","The paper is about agent design patterns as solutions to recurrent design problems, but from the abstract it is unclear whether it synthesizes prior work into a taxonomy or defines the construct explicitly, so it should be routed to full-text screening."
