keyword,cluster_id,paper_count,assignment_status,requires_human_review,descriptive_tfidf_terms_not_final_topics,representative_titles,mean_centroid_similarity,minimum_assignment_margin,reviewer_cluster_coherent_yes_no,reviewer_granularity_too_coarse_ok_too_fine,reviewer_accept_current_membership_yes_no,reviewer_accept_numeric_exception_yes_no,reviewer_notes
Design Guidelines,DG-C01,3,numeric_rule_failed_requires_review,True,design | knowledge | ui | visualization | constraints | guidelines | design knowledge | instances | visualization design | guideline | uis | component | characteristics | actions | tools,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines | Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco | Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines",0.8967353701591492,0.10088205337524414,,,,,
Design Guidelines,DG-C02,4,numeric_rule_failed_requires_review,True,design | guidelines | school | map | eu | design guidelines | planning | based | development | user | public | user experience | architecture | study | section,The equitable use concept in sidewalk design | A Comparative Study of Chinese and American Rural Design Guidelines | User Experience Design in Professional Map-Based Geo-Portals | Healthy Eating Design Guidelines for School Architecture,0.8544387221336365,0.08596944808959961,,,,,
Design Guidelines,DG-C03,6,numeric_rule_failed_requires_review,True,design | immersive | natural | visualization | framework | interaction | experience | hci | experiences | media | participants | aesthetics | users | user | research,From interaction to trajectories: designing coherent journeys through user experiences | Towards a Model of Information Aesthetics in Information Visualization | The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers | The Rough Mile: Testing a Framework of Immersive Practice | Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,0.877058207988739,0.042267441749572754,,,,,
Design Guidelines,DG-C04,9,numeric_rule_failed_requires_review,True,design | language | guidelines | task | software | principles | user | eo | trustworthiness | interface | user interface | problem | architecture | systems | types,Separation of Modeling Principles and Design Principles in Enterprise Engineering | A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions | Design Study Methodology: Reflections from the Trenches and the Stacks | Towards Canonical Task Types for User Interface Design | Design Guidelines for Domain Specific Languages,0.8683130741119385,0.030778110027313232,,,,,
Design Heuristics,DH-C01,7,numerically_selected_pending_human_veto,True,design | heuristics | heuristic | design heuristics | knowledge | product | concepts | et | use | et al | designers | al | problem | designs | products,Design Heuristics in Innovative Products | Evidence-based design heuristics for idea generation | Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization | Formal system for the expression of target-oriented design heuristics | What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,0.933871328830719,0.12263733148574829,,,,,
Design Heuristics,DH-C02,3,numerically_selected_pending_human_veto,True,design | formats | communication | communication formats | end | use | users | time | people | dialogue | technology | taxonomy | designers | human | assistive,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception | Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception | From human factors to human actors to human crafters,0.941966712474823,0.08651262521743774,,,,,
Design Patterns,DPAT-C01,35,numerically_selected_pending_human_veto,True,patterns | design | pattern | design patterns | software | game | ai | model | systems | visualization | architecture | modeling | domain | agent | meta,Understanding and using patterns in software development | Catalogue of general-purpose software design patterns | Industrial experience with design patterns | Elemental design patterns: A formal semantics for composition of OO software architecture | A semantic representation for domain-specific patterns,0.8764700889587402,0.008864641189575195,,,,,
Design Patterns,DPAT-C02,16,numerically_selected_pending_human_veto,True,design | patterns | pattern | design patterns | interaction | hci | alexander | video | language | pattern language | robot | knowledge | context | teachers | space,"A pattern approach to interaction design | An overview of human-computer interaction patterns in pervasive systems | Teachers’ Collaborative Pattern Language Design | Patterns, anticipation and participatory futures | Design patterns for exploring and prototyping human-robot interactions",0.891635537147522,0.002192676067352295,,,,,
Design Rules,DRUL-C01,4,numeric_rule_failed_requires_review,True,design | user | systems | interfaces | mechanical | technology | online | technical | hci | 1997 | recipe | human | experience | information | interaction,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components | User interfaces of information retrieval systems and user friendliness | Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted | Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics",0.8863692283630371,-0.004182338714599609,,,,,
Design Rules,DRUL-C02,7,numeric_rule_failed_requires_review,True,design | rules | modular | organizational | design rules | architecture | modularity | technical | process | development | mathematical | considerations | baldwin | space | errors,"Studying Software Architecture Through Design Spaces and Rules | Toward a Conceptualization of Organizational Modularity | Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones | Steps toward a cognitive engineering: Design rules based on analyses of human error | Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture",0.8728151917457581,0.04873567819595337,,,,,
Design frameworks,DF-C01,2,numeric_rule_failed_requires_review,True,learning | design | activities | al | et | et al | participants | learning activities | experiencing | learning design | experiencing vulnerability | vulnerability | research | empower | online,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults | The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,0.9305856227874756,0.14073115587234497,,,,,
Design frameworks,DF-C02,4,numeric_rule_failed_requires_review,True,game | design | ai | game design | systemic | systemic design | player | service | frameworks | games | learning | framework | dynamics | mda | experience,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games | The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games | Systematic Review of Systemic Design Frameworks for Complex Challenges | Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",0.9167855978012085,0.09807395935058594,,,,,
Design knowledge,DK-C01,23,numeric_rule_failed_requires_review,True,design | knowledge | principles | hci | design principles | patterns | pattern | design knowledge | human | learning | practice | students | ai | user | usability,"Design Principles: Literature Review, Analysis, and Future Directions | Utilization of design principles for hybrid learning configurations by interprofessional design teams | Utilization of design principles for hybrid learning configurations by interprofessional design teams | Guidelines supporting the formulation of design principles | Designing as reflective conversation with the materials of a design situation",0.874799907207489,-0.006377696990966797,,,,,
Design knowledge,DK-C02,35,numeric_rule_failed_requires_review,True,design | knowledge | dsr | research | design knowledge | dr | theory | ontology | principles | data | methods | design theory | design principles | digital | design research,Towards a Method for Design Principle Development in Information Systems | A Typology of Knowledge Creation in Design Science Research Projects | The anatomy of a design theory | A Multi-Grounded Design Research Process | Accumulating design knowledge: A mechanisms-based approach,0.8851142525672913,0.0033875703811645508,,,,,
Design knowledge,DK-C03,10,numeric_rule_failed_requires_review,True,knowledge | design | product | design knowledge | process | product design | project | prototyping | causal | cpm | research | development | engineering | model | process knowledge,Design knowledge for decision-making process in a DFX product design approach | What is design knowledge from the viewpoint of CPM/PDD? | A study of practice based design research models from knowledge integration perspective | Design knowledge representation: An ontological perspective | How industrial design knowledge differs from engineering design knowledge,0.9219943284988403,0.018630921840667725,,,,,
Design methods,DM-C01,14,numeric_rule_failed_requires_review,True,design | methods | method | research | knowledge | design methods | use | embodied | users | designers | process | human | hci | used | design research,Elements of a design method - a basis for describing and evaluating design methods | Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework | Designerly Research Methods and Researcherly Design Methods | Elements of a design method – a basis for describing and evaluating design methods | Surveying a Landscape of Ethics-Focused Design Methods,0.9002631902694702,0.03271830081939697,,,,,
Design methods,DM-C02,9,numeric_rule_failed_requires_review,True,design | theory | value | methods | business | systemic | complexity | model | models | virtual | processes | process | systems | knowledge | robust,"A Framework for Systemic Design | The Design of Business Models: What, How and Why | Adapting the FBS Model of Designing for Usage-Driven Innovation Processes | Beyond geometric complexity: a critical review of complexity theory and how it relates to architecture engineering and construction | Using System Dynamics to Construct Design Theory for Community Information Systems",0.8863418698310852,0.02087724208831787,,,,,
