paper_id,title,keyword,cluster_id,cluster_index,group_k,assignment_method,assignment_status
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",Design Guidelines,DG-C01,0,4,spectral_knn10,numeric_rule_failed_requires_review
ee0a5b26f6dc,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,Design Guidelines,DG-C01,0,4,spectral_knn10,numeric_rule_failed_requires_review
f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,Design Guidelines,DG-C01,0,4,spectral_knn10,numeric_rule_failed_requires_review
0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,Design Guidelines,DG-C02,1,4,spectral_knn10,numeric_rule_failed_requires_review
0ef759265f23,The equitable use concept in sidewalk design,Design Guidelines,DG-C02,1,4,spectral_knn10,numeric_rule_failed_requires_review
866322a64dc5,Healthy Eating Design Guidelines for School Architecture,Design Guidelines,DG-C02,1,4,spectral_knn10,numeric_rule_failed_requires_review
cb7daae2b94f,User Experience Design in Professional Map-Based Geo-Portals,Design Guidelines,DG-C02,1,4,spectral_knn10,numeric_rule_failed_requires_review
0842498049c7,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,Design Guidelines,DG-C03,2,4,spectral_knn10,numeric_rule_failed_requires_review
615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,Design Guidelines,DG-C03,2,4,spectral_knn10,numeric_rule_failed_requires_review
65c31c577170,The Rough Mile: Testing a Framework of Immersive Practice,Design Guidelines,DG-C03,2,4,spectral_knn10,numeric_rule_failed_requires_review
75f43821c56f,Towards a Model of Information Aesthetics in Information Visualization,Design Guidelines,DG-C03,2,4,spectral_knn10,numeric_rule_failed_requires_review
ca185d91b684,Embracing Non-Natural Design in Human-Computer Interaction,Design Guidelines,DG-C03,2,4,spectral_knn10,numeric_rule_failed_requires_review
d0a17557440f,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,Design Guidelines,DG-C03,2,4,spectral_knn10,numeric_rule_failed_requires_review
139a1e71d8dc,Separation of Modeling Principles and Design Principles in Enterprise Engineering,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
14dcaf15aa66,Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
48af90d5dfe7,Design Guidelines for Domain Specific Languages,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
85ba95ab4fa0,"Six Guidelines for Trustworthy, Ethical and Responsible Automation Design",Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
9020aa145571,A Process Framework for Designing Software Reference Architectures for Providing Tools as a Service,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
b077c606da41,Classification approach for hybrid components in mechanical engineering with a focus on additive manufacturing,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
b14f85b19a87,Design Study Methodology: Reflections from the Trenches and the Stacks,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
b357bc5a3d3b,Towards Canonical Task Types for User Interface Design,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
c216cc01fe23,A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions,Design Guidelines,DG-C04,3,4,spectral_knn10,numeric_rule_failed_requires_review
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
7cb073ebacac,Formal system for the expression of target-oriented design heuristics,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
9f4dbd790fe7,Design Heuristics in Innovative Products,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
