paper_group,representative_paper_id,representative_title,status,accepted_record_ids,acquired_record_ids,local_incomplete_record_ids,accepted_record_count
ab97fa9e6ec7,ab97fa9e6ec7,"""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""",downloaded,ab97fa9e6ec7,ab97fa9e6ec7,,1
7d6de5f94a84,7d6de5f94a84,(Re)Defining Restorative and Regenerative Urban Design and Their Relation to UNSDGs—A Systematic Review,downloaded,7d6de5f94a84,7d6de5f94a84,,1
662ae9cea17d,662ae9cea17d,1C3-2 A Literature Survey on UX Design Properties and Principles Of Smart Device Design for the Disabled::From the Perspective of the Value/Quality of Human Life,downloaded,662ae9cea17d,662ae9cea17d,,1
20f56bbbd10c,20f56bbbd10c,2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy,downloaded,20f56bbbd10c,20f56bbbd10c,,1
38b608e72e2d,38b608e72e2d,"A BOUNDARY OBJECT FOR MAPPING, COMPARING, AND INTEGRATING PRODUCT DESIGN METHODS",downloaded,38b608e72e2d,38b608e72e2d,,1
0176348439b8,0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,downloaded,0176348439b8,0176348439b8,,1
a4ef5e43da80,a4ef5e43da80,A Design Archival Approach to Knowledge Production in Design Research and Practice,downloaded,a4ef5e43da80,a4ef5e43da80,,1
102689fab8b6,102689fab8b6,A Design Theory for Transparency of Information Privacy Practices,downloaded,102689fab8b6,102689fab8b6,,1
d785c8a9964a,d785c8a9964a,A Framework for Concept and its Testing on Patents,downloaded,d785c8a9964a,d785c8a9964a,,1
49d75437fd07,49d75437fd07,A Framework for Design Patterns in TROPOS,downloaded,49d75437fd07,49d75437fd07,,1
76669ffc8981,76669ffc8981,A Framework for Effective Virtual Commissioning: Guiding Principles for Seamless System Integration,downloaded,76669ffc8981,76669ffc8981,,1
f16832406221,f16832406221,A Framework for Systemic Design,downloaded,f16832406221,f16832406221,,1
b5d968168f35,b5d968168f35,A Framework of Design Method Corroboration,downloaded,b5d968168f35,b5d968168f35,,1
1fda49b32463,1fda49b32463,A Pattern-Oriented Approach to a Methodical Evaluation of Modeling Methods,downloaded,1fda49b32463,1fda49b32463,,1
c216cc01fe23,c216cc01fe23,A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions,downloaded,c216cc01fe23,c216cc01fe23,,1
9020aa145571,9020aa145571,A Process Framework for Designing Software Reference Architectures for Providing Tools as a Service,downloaded,9020aa145571,9020aa145571,,1
49da21b385d7,49da21b385d7,A Review of Domain Knowledge Representation for Robot Task Planning,downloaded,49da21b385d7,49da21b385d7,,1
d19f5f66d2ba,d19f5f66d2ba,A Survey of Definition and its Role in Strengthening Design Theory,downloaded,d19f5f66d2ba,d19f5f66d2ba,,1
09055cc69e8c,09055cc69e8c,A Theoretical Model for Game Mechanics: Bridging Design Practice and Education,downloaded,09055cc69e8c,09055cc69e8c,,1
0783409933b4,0783409933b4,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology,downloaded,0783409933b4,0783409933b4,,1
5661de15ea0f,5661de15ea0f,A Typology of Design Ideas,downloaded,5661de15ea0f,5661de15ea0f,,1
07eb3166d706,07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,downloaded,07eb3166d706,07eb3166d706,,1
0c63b5d36c1b,0c63b5d36c1b,A User-Oriented Design Knowledge Reuse Model,downloaded,0c63b5d36c1b,0c63b5d36c1b,,1
215d4603e3c7,215d4603e3c7,A case study of the extension of floorplan flexibility using sector margins,downloaded,215d4603e3c7,215d4603e3c7,,1
1aecb7940a63,1aecb7940a63,A compositional approach to modelling design rationale,downloaded,1aecb7940a63;7e16109e6183,1aecb7940a63,,2
a8b318749f73,a8b318749f73,A conceptual framework for design science research,downloaded,a8b318749f73,a8b318749f73,,1
705b504131f6,705b504131f6,A conceptual framework to construct an artefact for meta-abstract design knowledge in design science research,downloaded,705b504131f6,705b504131f6,,1
ca4fa896aabc,ca4fa896aabc,A design pattern approach to bitemporal data modeling,downloaded,ca4fa896aabc,ca4fa896aabc,,1
02381ea80183,02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,downloaded,02381ea80183,02381ea80183,,1
288676f720a1,288676f720a1,A design theory for digital platforms supporting online communities: a multiple case study,downloaded,288676f720a1,288676f720a1,,1
ca409db2dd49,ca409db2dd49,A design theory for managing software process improvement,downloaded,ca409db2dd49,ca409db2dd49,,1
2faef10b819d,2faef10b819d,A design theory for software engineering,downloaded,2faef10b819d,2faef10b819d,,1
33444d31c6dc,33444d31c6dc,A design theory for visual inquiry tools,downloaded,33444d31c6dc,33444d31c6dc,,1
6d926f3c4a97,6d926f3c4a97,A domain reference ontology for design science research knowledge bases,downloaded,6d926f3c4a97,6d926f3c4a97,,1
