paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers,design_knowledge_form,design_knowledge_action,design_knowledge_contribution
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho","Despite the growing demand for professional graphic design knowledge, the tacit nature of design inhibits knowledge sharing. However, there is a limited understanding on the characteristics and instances of tacit knowledge in graphic design. In this work, we build a comprehensive set of tacit knowledge characteristics through a literature review. Through interviews with 10 professional graphic designers, we collected 123 tacit knowledge instances and labeled their characteristics. By qualitatively coding the instances, we identified the prominent elements, actions, and purposes of tacit knowledge. To identify which instances have been addressed the least, we conducted a systematic literature review of prior system support to graphic design. By understanding the reasons for the lack of support on these instances based on their characteristics, we propose design guidelines for capturing and applying tacit knowledge in design tools. This work takes a step towards understanding tacit knowledge, and how this knowledge can be communicated.",10.1145/3613904.3642886,2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3613904.3642886,Design Guidelines,acm|engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Builds a comprehensive set of tacit knowledge characteristics via literature review and characterizes/defines tacit design knowledge in graphic design, satisfying C2 and likely C3.","The paper develops a VR Deceptive Game Design Assessment Guide based on a critical literature review, which indicates synthesis/categorization of design patterns, but the abstract does not clearly state an explicit adapted or original definition.",True,pdfplumber,73017,52,10,False,0,6,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,13.615276,9.182549,,-1,True,-1,3,0.961974472489776,"guidelines, visualization, concept, usability, task, characteristics, aesthetics, rules",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': '2cceb8eaa8c9', 'title': 'Design Guidelines and Strategies for Interim Innovation', 'cluster': -1, 'distance': 0.5638314821915724}, {'paper_id': 'cb7daae2b94f', 'title': 'User Experience Design in Professional Map-Based Geo-Portals', 'cluster': -1, 'distance': 0.8280731887748992}, {'paper_id': 'b14f85b19a87', 'title': 'Design Study Methodology: Reflections from the Trenches and the Stacks', 'cluster': -1, 'distance': 0.8375162650960958}, {'paper_id': '14dcaf15aa66', 'title': 'Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa', 'cluster': -1, 'distance': 0.8475661582805957}, {'paper_id': 'c216cc01fe23', 'title': 'A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions', 'cluster': -1, 'distance': 0.8549163108210349}]",n/a,n/a,Not interpreted as a cluster theme.
ca185d91b684,Embracing Non-Natural Design in Human-Computer Interaction,"Vatavu, Radu-Daniel","Decades ago, the natural interaction design paradigm has brought about a revolutionary shift in perspective regarding how interactions with computer systems could and should take place. By promoting intuition, familiarity, and context matching, natural interactions leverage users’ best capabilities to engage in effective dialogue with their computer interlocutors. Natural interaction has prevailed and transpires today in the way we use gestures, voice, or eye gaze to interact with mobile and wearable devices, communicate with personal assistants, play video games through whole-body movements, and engage with public ambient displays. However, recent contexts of use, represented by novel extended reality environments, computer systems designed to augment the human body, and creative designs of assistive technology, have resulted in interactions that can no longer be characterized as “natural.” In fact, the opposite of natural is true for them. An interaction technique for retrieving digital files from thin air, without any feedback other than within users’ own imagination, does not follow natural design guidelines, but can nevertheless prove effective. Alternating between normal and whispered voices is not a natural speech behavior, yet it enables effective discrimination between commands addressed to the system and actual speech to be transformed into text input. Eyelid gestures, reproducing movement patterns, are not natural for how we normally close and open our eyes, but are effective input for users with motor impairments. In this context, I will discuss non-natural interaction design&nbsp;[5], a transformative and creative process in Human-Computer Interaction research and practice that leads to highly usable and effective interactions with computer systems by deliberately deviating from users’ expectations and their experience of engaging with the natural, physical world. Non-natural interactions are surprising, unexpected, thought-provoking and, by design, non natural. Yet, they foster usability, accessibility, and efficiency for users. In my talk, I will exemplify the paradigm of non-natural interaction design through practical use cases developed and examined in my lab, spanning from wearable devices that challenge user agency&nbsp;[1] to smart buildings featuring invisible layers of digital content anchored in thin air&nbsp;[3], augmenting and extending the human body with virtual limbs&nbsp;[4], and computer-supported worlds that enable switching between different reality augmentations&nbsp;[2].",10.1145/3656650.3660545,2024,Proceedings of the 2024 International Conference on Advanced Visual Interfaces,https://doi.org/10.1145/3656650.3660545,Design Guidelines,acm|engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and critiques the natural interaction design paradigm, plausibly synthesizing and redefining design paradigms/constructs (e.g., non-natural design), so C2/C3 plausible pending full text.","The paper appears to discuss a design paradigm in HCI rather than an algorithm or system, but the truncated abstract does not clearly show a synthesis from prior work or an explicit definition, so full text is needed.",True,pdfplumber,5002,4,1,False,0,1,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,13.793479,11.257895,,-1,True,-1,5,0.935716900435678,"guidelines, practical, paradigm, environment, effective, introduce, brought, decades",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': 'c216cc01fe23', 'title': 'A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions', 'cluster': -1, 'distance': 0.724206058809395}, {'paper_id': '425cad2aba7c', 'title': 'Design Guidelines and Examples', 'cluster': -1, 'distance': 0.7929740873511948}, {'paper_id': '85ba95ab4fa0', 'title': 'Six Guidelines for Trustworthy, Ethical and Responsible Automation Design', 'cluster': -1, 'distance': 0.8371303197430657}, {'paper_id': '615169de6f0e', 'title': 'From interaction to trajectories: designing coherent journeys through user experiences', 'cluster': -1, 'distance': 0.8477155330882344}, {'paper_id': 'cb5bf6a78d8e', 'title': 'From surface realism to training considerations: a proposal for changing the focus in the design of training systems', 'cluster': -1, 'distance': 0.8610659511380359}]",n/a,n/a,Not interpreted as a cluster theme.
f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,"Yang, Bo and Xing, Zhenchang and Xia, Xin and Chen, Chunyang and Ye, Deheng and Li, Shanping","Just like code smells in source code, UI design has visual design smells. We study 93 don't-do-that guidelines in the Material Design, a complex design system created by Google. We find that these don't-guidelines go far beyond UI aesthetics, and involve seven general design dimensions (layout, typography, iconography, navigation, communication, color, and shape) and four component design aspects (anatomy, placement, behavior, and usage). Violating these guidelines results in visual design smells in UIs (or UI design smells). In a study of 60,756 UIs of 9,286 Android apps, we find that 7,497 UIs of 2,587 apps have at least one violation of some Material Design guidelines. This reveals the lack of developer training and tool support to avoid UI design smells. To fill this gap, we design an automated UI design smell detector (UIS-Hunter) that extracts and validates multi-modal UI information (component metadata, typography, iconography, color, and edge) for detecting the violation of diverse don't-guidelines in Material Design. The detection accuracy of UIS-Hunter is high (precision=0.81, recall=0.90) on the 60,756 UIs of 9,286 apps. We build a guideline gallery with real-world UI design smells that UIS-Hunter detects for developers to learn the best Material Design practices. Our user studies show that UIS-Hunter is more effective than manual detection of UI design smells, and the UI design smells that are detected by UIS-Hunter have severely negative impacts on app users.",10.1109/icse43902.2021.00075,2021,Proceedings of the 43rd International Conference on Software Engineering,https://doi.org/10.1109/ICSE43902.2021.00075,Design Guidelines,acm|engineering_village|ieee|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Studies and categorizes 93 design guidelines across design dimensions and defines the concept of UI design smells, plausibly satisfying both C2 and C3; flagged to confirm in full text.","This appears to be an empirical study of stroke rehabilitation context intended to inform interaction design, and while design implications are plausible, the abstract does not clearly indicate synthesis or explicit definition of design knowledge from prior work.",True,pdfplumber,69877,43,10,False,0,6,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,12.860602,9.232349,,-1,True,-1,1,0.9535468986637192,"guidelines, architecture, visual, immersive, self, complex, developed, environments",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': 'ee0a5b26f6dc', 'title': 'Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco', 'cluster': -1, 'distance': 0.7981578575624282}, {'paper_id': '48af90d5dfe7', 'title': 'Design Guidelines for Domain Specific Languages', 'cluster': -1, 'distance': 0.7994805024349367}, {'paper_id': '75f43821c56f', 'title': 'Towards a Model of Information Aesthetics in Information Visualization', 'cluster': -1, 'distance': 0.8685732727083201}, {'paper_id': '615169de6f0e', 'title': 'From interaction to trajectories: designing coherent journeys through user experiences', 'cluster': -1, 'distance': 0.8709021414720839}, {'paper_id': '866322a64dc5', 'title': 'Healthy Eating Design Guidelines for School Architecture', 'cluster': -1, 'distance': 0.8867643497300927}]",n/a,n/a,Not interpreted as a cluster theme.
65c31c577170,The Rough Mile: Testing a Framework of Immersive Practice,"Spence, Jocelyn and Hazzard, Adrian and McGrath, Sean and Greenhalgh, Chris and Benford, Steve","We present our case study on gifting digital music, The Rough Mile, as an example of a Framework of Immersive Practice, intended for researchers and practitioners in HCI and interaction design. Although immersion is a frequently used term in the HCI and related literatures, we find no definitions or frameworks that are robust enough to capture the full range of multi-sensory, emotional, and cognitive engagement that the richest of these experiences can entail. We therefore turn to the theatrical performance literature to distil a theory-based framework of practices that can apply to interdisciplinary projects as well as works with an entirely aesthetic aim. The design choices and findings of The Rough Mile are presented in terms of this framework, leading to a discussion of the design guidelines that can shape its use in any HCI or interaction design project aiming for a deep, personal engagement through technology.",10.1145/3064663.3064756,2017,Proceedings of the 2017 Conference on Designing Interactive Systems,https://doi.org/10.1145/3064663.3064756,Design Guidelines,acm,full,False,False,True,True,True,True,advance_criteria,True,"Distills a theory-based framework of immersive practice from theatrical literature for HCI design and notes absence of robust existing definitions, suggesting synthesis and its own framework definition.","The paper explicitly distils a theory-based framework from theatrical performance literature and states that existing definitions/frameworks are inadequate, indicating both synthesis and an adapted or newly articulated framework/definition for immersive practice.",True,pdfplumber,59439,38,10,False,0,1,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,12.36131,11.298785,,-1,True,-1,0,0.9475645353657344,"guidelines, provide, guidance, definitions, high, immersive, literature, reflect",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': '0842498049c7', 'title': 'The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers', 'cluster': -1, 'distance': 0.638867673625086}, {'paper_id': 'd0a17557440f', 'title': 'Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms', 'cluster': -1, 'distance': 0.6507295612274392}, {'paper_id': '615169de6f0e', 'title': 'From interaction to trajectories: designing coherent journeys through user experiences', 'cluster': -1, 'distance': 0.7512465845204473}, {'paper_id': '425cad2aba7c', 'title': 'Design Guidelines and Examples', 'cluster': -1, 'distance': 0.8630030140197541}, {'paper_id': 'b077c606da41', 'title': 'Classification approach for hybrid components in mechanical engineering with a focus on additive manufacturing', 'cluster': -1, 'distance': 0.8657750308715841}]",n/a,n/a,Not interpreted as a cluster theme.
615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,"Benford, Steve and Giannachi, Gabriella and Koleva, Boriana and Rodden, Tom","The idea of interactional trajectories through interfaces has emerged as a sensitizing concept from recent studies of tangible interfaces and interaction in museums and galleries. We put this concept to work as a lens to reflect on published studies of complex user experiences that extend over space and time and involve multiple roles and interfaces. We develop a conceptual framework in which trajectories explain these user experiences as journeys through hybrid structures, punctuated by transitions, and in which interactivity and collaboration are orchestrated. Our framework is intended to sensitize future studies, help distill craft knowledge into design guidelines and patterns, identify technology requirements, and provide a boundary object to connect HCI with Performance Studies.",10.1145/1518701.1518812,2009,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1518701.1518812,Design Guidelines,acm,full,False,False,True,True,True,True,advance_criteria,True,"Develops a conceptual framework of trajectories by reflecting on published studies, synthesizing prior work and defining the construct, satisfying C2 and likely C3.","Uses the concept of interactional trajectories to reflect on published studies and develops a conceptual framework synthesizing prior work, but the abstract does not clearly state an explicit original or adapted definition, so full text is needed for C3.",True,pdfplumber,52454,36,10,False,0,2,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,14.653017,11.016296,,-1,True,-1,3,0.9600395630987432,"guidelines, visualization, concept, usability, task, characteristics, aesthetics, rules",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': 'c216cc01fe23', 'title': 'A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions', 'cluster': -1, 'distance': 0.7306688910748776}, {'paper_id': '65c31c577170', 'title': 'The Rough Mile: Testing a Framework of Immersive Practice', 'cluster': -1, 'distance': 0.7512465845204473}, {'paper_id': '14dcaf15aa66', 'title': 'Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa', 'cluster': -1, 'distance': 0.8089263467911771}, {'paper_id': '0ef759265f23', 'title': 'The equitable use concept in sidewalk design', 'cluster': -1, 'distance': 0.827873955563495}, {'paper_id': 'ca185d91b684', 'title': 'Embracing Non-Natural Design in Human-Computer Interaction', 'cluster': -1, 'distance': 0.8477155330882344}]",n/a,n/a,Not interpreted as a cluster theme.
85ba95ab4fa0,"Six Guidelines for Trustworthy, Ethical and Responsible Automation Design","Jelínek, Matouš ; Schlicker, Nadine ; de Visser, Ewart","Calibrated trust in automated systems (Lee and See 2004) is critical for their safe and seamless integration into society. The common goal of the various definitions of calibrated trust1 is to optimize outcomes in human-automation interaction. In other words, users should only rely on a system recommendation when it is actually correct and reject it when it is factually wrong. One requirement to achieve this goal is an accurate trustworthiness assessment, ensuring that the user's perception of the system's trustworthiness aligns with its actual trustworthiness, allowing users to make informed decisions about the extent to which they can rely on the system (Schlicker et al. 2022). The field of pragmatics offers valuable insights into the communication processes essential for developing accurate trustworthiness assessments by helping to find strategies to bridging the gap between user expectations and system capabilities, emphasizing the importance of context and mutual understanding in communication. We propose six design guidelines to help designers to optimize for accurate trustworthiness assessments, thus fostering ethical, and responsible human-automation interactions. The proposed guidelines are derived from existing literature in various fields, such as human-computer interaction, cognitive psychology, automation research, user-experience design, and ethics. We are incorporating key principles from the field of pragmatics, specifically the cultivation of common ground (H. H. Clark 1996) and Gricean communication maxims (Grice 1975). These principles are essential for the design of automated systems because the user’s perception of the system’s trustworthiness is shaped by both environmental contexts, such as organizational culture or societal norms, and by situational context, including the specific circumstances or scenarios in which the interaction occurs (Hoff and Bashir 2015). Pragmatics principles provide valuable insights into these contexts, thus enhancing our understanding and design of trustworthy systems. Our proposed guidelines provide actionable insights for designers to create automated systems that make relevant trustworthiness cues available. This would ideally foster calibrated trust and more satisfactory, productive, and safe interactions between humans and automated systems. Furthermore, the proposed heuristics might work as a tool for evaluating to what extent existing systems enable users to accurately assess a system’s trustworthiness. © 2025, CC BY-NC-ND.",10.48550/arXiv.2508.02371,2025,arXiv,,Design Guidelines,engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Proposes six guidelines for automation design and engages with definitions of calibrated trust, plausibly synthesizing/defining design constructs; flagged to confirm in full text.","The paper appears to present six guidelines about automation design as its topic, but the abstract fragment does not clearly show whether these guidelines are synthesized from prior literature or whether any explicit definition/adaptation of a design-knowledge construct is provided.",True,pdfplumber,44460,30,10,True,6,6,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,13.570722,10.659342,,-1,True,-1,4,0.95359597065591,"guidelines, definitions, interfaces, goal, clear, hybrid, types, strategies",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': '425cad2aba7c', 'title': 'Design Guidelines and Examples', 'cluster': -1, 'distance': 0.6616889952169664}, {'paper_id': 'b077c606da41', 'title': 'Classification approach for hybrid components in mechanical engineering with a focus on additive manufacturing', 'cluster': -1, 'distance': 0.7481641530727732}, {'paper_id': '2cceb8eaa8c9', 'title': 'Design Guidelines and Strategies for Interim Innovation', 'cluster': -1, 'distance': 0.7481940770816657}, {'paper_id': 'ca185d91b684', 'title': 'Embracing Non-Natural Design in Human-Computer Interaction', 'cluster': -1, 'distance': 0.8371303197430657}, {'paper_id': '0176348439b8', 'title': 'A Comparative Study of Chinese and American Rural Design Guidelines', 'cluster': -1, 'distance': 0.8821434467281197}]",n/a,n/a,Not interpreted as a cluster theme.
75f43821c56f,Towards a Model of Information Aesthetics in Information Visualization,A. Lau; A. Vande Moere,"This paper proposes a model of information aesthetics in the context of information visualization. It addresses the need to acknowledge a recently emerging number of visualization projects that combine information visualization techniques with principles of creative design. The proposed model contributes to a better understanding of information aesthetics as a potentially independent research field within visualization that specifically focuses on the experience of aesthetics, dataset interpretation and interaction. The proposed model is based on analysing existing visualization techniques by their interpretative intent and data mapping inspiration. It reveals information aesthetics as the conceptual link between information visualization and visualization art, and includes the fields of social and ambient visualization. This model is unique in its focus on aesthetics as the artistic influence on the technical implementation and intended purpose of a visualization technique, rather than subjective aesthetic judgments of the visualization outcome. This research provides a framework for understanding aesthetics in visualization, and allows for new design guidelines and reviewing criteria.",10.1109/IV.2007.114,2007,,,Design Guidelines,ieee,full,False,False,True,True,True,True,advance_criteria,True,"Proposes a model of information aesthetics based on analyzing existing visualization techniques, plausibly synthesizing and defining a design-related construct, so C2/C3 are plausible but warrant full-text confirmation.","The paper proposes a model of information aesthetics based on analyzing existing visualization techniques and creative design principles, indicating synthesis of related constructs, but the abstract does not clearly state an explicit original or adapted definition, so full text is needed for C3.",True,pdfplumber,30250,21,10,False,0,2,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,12.152493,9.262214,,-1,True,-1,3,0.9636645838833058,"guidelines, visualization, concept, usability, task, characteristics, aesthetics, rules",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': 'ee0a5b26f6dc', 'title': 'Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco', 'cluster': -1, 'distance': 0.5774929409479233}, {'paper_id': 'b14f85b19a87', 'title': 'Design Study Methodology: Reflections from the Trenches and the Stacks', 'cluster': -1, 'distance': 0.8198089726488476}, {'paper_id': 'f0b2517a04a4', 'title': ""Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines"", 'cluster': -1, 'distance': 0.8685732727083201}, {'paper_id': 'b357bc5a3d3b', 'title': 'Towards Canonical Task Types for User Interface Design', 'cluster': -1, 'distance': 0.8783085037203127}, {'paper_id': 'cb7daae2b94f', 'title': 'User Experience Design in Professional Map-Based Geo-Portals', 'cluster': -1, 'distance': 0.9043066103243039}]",n/a,n/a,Not interpreted as a cluster theme.
b357bc5a3d3b,Towards Canonical Task Types for User Interface Design,J. M. Gonzalez-Calleros; J. Guerrero-Garcia; J. Vanderdonckt; J. Munoz-Arteaga,"Task models are the cornerstone of user-centred design methodologies for user interface design. Therefore, they deserve attention in order to produce them effectively and efficiently, while guaranteeing the reproducibility of a task model: different persons should in principle obtain the same task model, or a similar one, for the same problem. In order to provide user interface designers with some guidance for task modelling, a list of canonical task types is proposed that offers a unified definition of frequently used tasks types in a consistent way. Each task type consists of a task action coupled with a task object, each of them being written according to design guidelines. This list provides the following benefits: tasks are modelled in a more consistent way, their definition is more communicable and shared, task models can be efficiently used for model-driven engineering of user interfaces.",10.1109/LA-WEB.2009.33,2009,,,Design Guidelines,ieee,full,False,False,True,True,True,True,advance_criteria,True,"Proposes a unified set of canonical task types offering consistent definitions of frequently used task types for UI design, synthesizing and defining design-knowledge constructs.","The paper proposes canonical task types to guide UI task modelling and explicitly offers unified definitions of frequently used task types, indicating both categorization/definition of design-related constructs and explicit definitional work.",True,pdfplumber,36361,22,5,False,0,1,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,12.579099,9.758347,,-1,True,-1,3,0.966591150803025,"guidelines, visualization, concept, usability, task, characteristics, aesthetics, rules",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': '48af90d5dfe7', 'title': 'Design Guidelines for Domain Specific Languages', 'cluster': -1, 'distance': 0.8247797574465442}, {'paper_id': 'b14f85b19a87', 'title': 'Design Study Methodology: Reflections from the Trenches and the Stacks', 'cluster': -1, 'distance': 0.8449913167434904}, {'paper_id': '75f43821c56f', 'title': 'Towards a Model of Information Aesthetics in Information Visualization', 'cluster': -1, 'distance': 0.8783085037203127}, {'paper_id': '14dcaf15aa66', 'title': 'Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa', 'cluster': -1, 'distance': 0.8867530875680985}, {'paper_id': 'b077c606da41', 'title': 'Classification approach for hybrid components in mechanical engineering with a focus on additive manufacturing', 'cluster': -1, 'distance': 0.9008781041761338}]",n/a,n/a,Not interpreted as a cluster theme.
b14f85b19a87,Design Study Methodology: Reflections from the Trenches and the Stacks,M. Sedlmair; M. Meyer; T. Munzner,"Design studies are an increasingly popular form of problem-driven visualization research, yet there is little guidance available about how to do them effectively. In this paper we reflect on our combined experience of conducting twenty-one design studies, as well as reading and reviewing many more, and on an extensive literature review of other field work methods and methodologies. Based on this foundation we provide definitions, propose a methodological framework, and provide practical guidance for conducting design studies. We define a design study as a project in which visualization researchers analyze a specific real-world problem faced by domain experts, design a visualization system that supports solving this problem, validate the design, and reflect about lessons learned in order to refine visualization design guidelines. We characterize two axes - a task clarity axis from fuzzy to crisp and an information location axis from the domain expert's head to the computer - and use these axes to reason about design study contributions, their suitability, and uniqueness from other approaches. The proposed methodological framework consists of 9 stages: learn, winnow, cast, discover, design, implement, deploy, reflect, and write. For each stage we provide practical guidance and outline potential pitfalls. We also conducted an extensive literature survey of related methodological approaches that involve a significant amount of qualitative field work, and compare design study methodology to that of ethnography, grounded theory, and action research.",10.1109/TVCG.2012.213,2012,,,Design Guidelines,ieee,full,False,False,True,True,False,True,advance_criteria,True,"Synthesizes literature and experience to define design studies and propose a methodological framework, providing original definitions, satisfying C2 and C3.","The paper explicitly reflects on prior design studies and related methodology literature to provide definitions, a methodological framework, and guidance for design studies, satisfying both synthesis and definition criteria.",True,pdfplumber,66697,42,10,False,0,4,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,11.7809,9.896761,,-1,True,-1,0,0.967816502565854,"guidelines, provide, guidance, definitions, high, immersive, literature, reflect",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': 'ee0a5b26f6dc', 'title': 'Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco', 'cluster': -1, 'distance': 0.6874281770963269}, {'paper_id': 'c216cc01fe23', 'title': 'A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions', 'cluster': -1, 'distance': 0.7893279373657669}, {'paper_id': '866322a64dc5', 'title': 'Healthy Eating Design Guidelines for School Architecture', 'cluster': -1, 'distance': 0.7914041118438909}, {'paper_id': '0842498049c7', 'title': 'The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers', 'cluster': -1, 'distance': 0.810266844097186}, {'paper_id': '75f43821c56f', 'title': 'Towards a Model of Information Aesthetics in Information Visualization', 'cluster': -1, 'distance': 0.8198089726488476}]",n/a,n/a,Not interpreted as a cluster theme.
d0a17557440f,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,Fabian Tingelhoff; Jens Joachim Marga,"Immersive platforms, accessed via VR and AR interfaces, offer a profound digital experience but raise significant privacy and ethical concerns. Current systems collect extensive user data; this enables manipulative advertising and behavior control, fosters self-censorship, and diminishes authentic self-expression – especially among marginalized communities. The unchecked development of immersive platforms threatens to create oppressive environments due to power imbalances and a lack of regulation. This paper addresses the urgent need for emancipatory design guidelines to prevent such outcomes. By integrating critical theory with Participatory Design, we propose Emancipatory Participatory Immersive Platforms. These platforms involve users in their design and dismantle oppressive structures through four emancipatory tools (i.e., agency, dialogue, inclusion, and rationality), substantiated by eight actionable design principles. Our framework aims to empower users, promote inclusivity, and ensure rational engagement – and thereby foster immersive platforms that maintain functional benefits while enhancing freedom and equity.",,2025,Journal of strategic information systems,https://www.semanticscholar.org/paper/0118e4e235a32b2389d0a4caf0344774b888ca5c,Design Guidelines,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Presents a design theory and emancipatory design guidelines as its central contribution, plausibly satisfying C2 and likely defining its construct, though full text confirmation is warranted.","The paper addresses issues, guidelines, and recommendations for school green spaces, suggesting possible relevance to design knowledge, but the abstract does not confirm a literature-based synthesis or an explicit definition, requiring full-text review.",False,,0,0,0,False,0,0,Design guidelines,tfidf-svd,knowledge-type,hdbscan,-1,noise / outliers,12.711753,11.571318,,-1,True,-1,1,0.9619630622591274,"guidelines, architecture, visual, immersive, self, complex, developed, environments",Unclustered papers,HDBSCAN did not assign these papers to a dense cluster. They are retained for inspection but should not be interpreted as a thematic cluster.,,,,,,"[{'paper_id': '65c31c577170', 'title': 'The Rough Mile: Testing a Framework of Immersive Practice', 'cluster': -1, 'distance': 0.6507295612274392}, {'paper_id': '139a1e71d8dc', 'title': 'Separation of Modeling Principles and Design Principles in Enterprise Engineering', 'cluster': -1, 'distance': 0.7585631491325374}, {'paper_id': '425cad2aba7c', 'title': 'Design Guidelines and Examples', 'cluster': -1, 'distance': 0.8028564800688993}, {'paper_id': '0176348439b8', 'title': 'A Comparative Study of Chinese and American Rural Design Guidelines', 'cluster': -1, 'distance': 0.8122898504067511}, {'paper_id': '866322a64dc5', 'title': 'Healthy Eating Design Guidelines for School Architecture', 'cluster': -1, 'distance': 0.8299365195800805}]",n/a,n/a,Not interpreted as a cluster theme.
