paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers,design_knowledge_form,design_knowledge_action,design_knowledge_contribution
4ac74ce3f335,Towards a framework for documentation design: an abstract model of computer-mediated activity,"van Loggem, Brigit","An abstract model is developed of ""computer-mediated activity"" or CMA. The CMA model is based on the existing literature and describes how people interact with software to fulfil an intention and how, over time, they may achieve full mastery of the software. Academic studies related to the design of user documentation for software are sparse, and no underlying reference framework is available within which design rationale could be expressed. The CMA model is intended as a first step towards the development of such a framework. Its implications for documentation design are discussed and its application is illustrated by describing a number of well-known documentation formats in terms of the model.",10.1145/2501907.2501953,2013.0,Proceedings of the 31st European Conference on Cognitive Ergonomics,https://doi.org/10.1145/2501907.2501953,Design rationale,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Develops an abstract CMA model from existing literature as a framework within which design rationale can be expressed, satisfying C2 and plausibly C3; flagged for full-text confirmation of the definitional contribution.","The title and abstract indicate extraction of architectural patterns from frameworks and modeling their quality contributions, which is a categorizing/synthesis activity around reusable design knowledge, but no explicit definition is visible in the abstract.",True,pdfplumber,29468,20,6,False,0,3,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-1.777926,3.3948286,,-1,True,-1,2,0.9601723664937478,"rationale, capture, reuse, software, documentation, computer, history, representations",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': -1, 'distance': 0.4925639597447542}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': -1, 'distance': 0.7811441783307623}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': -1, 'distance': 0.7858239140786725}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': -1, 'distance': 0.8305422292116799}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': -1, 'distance': 0.8857304419254143}]",,,
12568f76ff90,Patterns or claims: do they help in communicating design advice?,"Abraham, George and Atwood, Michael E.","Past research asserts that patterns or claims will help capture and communicate interaction-design advice. Both structures attempt to provide advice in context along with the justifications for fit. These properties aim to make patterns or claims more concrete and comprehensible to novice designers than design guidelines. However, empirical work evaluating these promises is lacking. This research presents a controlled study that examines the value of structuring design advice as patterns or as claims. Patterns and claims seem different given their respective roots in architecture and design rationale. They also differ in their emphasis when capturing design decisions; patterns emphasize capturing a problem-solution pair in a certain context, whereas claims focus on capturing the positive and negative implications to a design decision. The findings from the study suggest it may be promising to combine the claim and pattern structures and that such a structure may facilitate discussions of design trade-offs.",10.1145/1738826.1738831,2009.0,Proceedings of the 21st Annual Conference of the Australian Computer-Human Interaction Special Interest Group: Design: Open 24/7,https://doi.org/10.1145/1738826.1738831,Design rationale,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Empirically compares patterns versus claims as structures for communicating design advice, treating these design-knowledge constructs as the topic of study and distinguishing them from guidelines, plausibly satisfying C2/C3.","It empirically studies patterns and claims as forms of interaction-design advice, treating design-knowledge constructs as the topic, but the abstract does not clearly indicate a literature synthesis or explicit definition.",True,pdfplumber,32238,22,10,True,3,3,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-2.279711,1.5784378,,-1,True,-1,1,0.9400568784730358,"rationale, claims, capture, limitations, usage, means, communicate, record",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '24bfa2182839', 'title': 'Designing claims for reuse in interactive systems design', 'cluster': -1, 'distance': 0.440065963274903}, {'paper_id': 'edde6dc75b19', 'title': 'The language of design: Theory and computation', 'cluster': -1, 'distance': 0.5720252396300485}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': -1, 'distance': 0.843564248637169}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': -1, 'distance': 0.8482312170957338}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': -1, 'distance': 0.8777592692260271}]",,,
296e021afe91,A generic model for reflective design,"Louridas, Panagiotis and Loucopoulos, Pericles","Rapid technological change has had an impact on the nature of software. This has led to new exigencies and to demands for software engineering paradigms that pay particular atttention to meeting them. We advocate that such demands can be met, at least in large parts, through the adoption of software engineering processes that are founded on a reflective stance. To this end, we turn our attention to the field of Design Rationale. We analyze and characterize Design Rationale approaches and show that despite surface differences between different approaches, they all tend to be variants of a relatively small set of static and dynamic affinities. We use the synthesis of static and dynamic affinities to develop a generic model for reflective design. The model is nonprescriptive and affects minimally the design process. It is context-independent and is intended to be used as a facilitator in participative design, supporting group communication and deliberation. The potential utility of the model is demonstrated through two examples, one from the world of business design and the other from programming language design",10.1145/350887.350895,2000.0,ACM Trans. Softw. Eng. Methodol.,https://doi.org/10.1145/350887.350895,Design rationale,acm|engineering_village,full,False,False,True,True,False,True,advance_criteria,True,Analyzes and characterizes Design Rationale approaches from prior work (C2) and proposes a generic model defining the construct for reflective design (C3).,"Analyzes and characterizes design rationale approaches to propose a generic reflective design model, indicating synthesis of a design-knowledge construct, but whether it explicitly defines or adapts that construct is unclear from the abstract alone.",True,pdfplumber,82222,61,10,False,0,6,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-1.3529902,3.4762216,,-1,True,-1,3,0.9477630419200228,"rationale, engineering, software, need, potential, argumentation, nature, generic",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '4ac74ce3f335', 'title': 'Towards a framework for documentation design: an abstract model of computer-mediated activity', 'cluster': -1, 'distance': 0.4925639597447542}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': -1, 'distance': 0.582134586102183}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': -1, 'distance': 0.7284058703417373}, {'paper_id': '6d339b25d458', 'title': 'Shared Mental Models for Collaborative Mechanical Design in Mechanical Engineering', 'cluster': -1, 'distance': 0.7356913386283401}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': -1, 'distance': 0.7917206225186109}]",,,
75731fe2e6d1,"Feature, specification and evidence framework for communicating design rationale","Mirabito, Y. (1); Tchatchouang Kayo, M.A. (2); Goucher-Lambert, K. (1)","Design rationale is the justification behind a product component, often captured via written reports and oral presentations. Research shows that the structure and information used to communicate and document rationale significantly influence human behavior. To better understand the influence of design rationale on engineering design, we investigate the information engineers and designers include in design rationales in written reports. Eight hundred and forty-six pages of student engineering design reports from 28 teams representing 116 individuals were analyzed using a mixed-methods approach and compared across project types. The rationales from the reports were coded inductively into concepts and later applied to five industry reports consisting of 218 pages. The findings reveal a spectrum of rationales underpinning design decisions. Grounded in the data, the feature, specification and evidence (FSE) framework emerged as a feature-based and low-effort capture approach. We discuss the need to improve design communication in engineering design, through structuring rationales (i.e., using the proposed FSE framework or other representations) and improving technical writing skills. Lastly, by enhancing design rationale communication and documentation practices, significant benefits can be realized for computational support tools such as automatic rationale extraction or generative approaches.",10.1017/dsj.2024.19,,Design Science,,Design rationale,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Investigates and proposes a framework for the information in design rationales and defines design rationale, treating the construct as the topic of study; flagged to confirm definitional framing.","Proposes a structured method for analyzing errors in design rationale to support robust artifact design; design rationale is central, but the abstract does not clearly indicate synthesis from prior literature or an explicit definition beyond background.",True,pdfplumber,66118,48,10,False,0,6,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-2.210848,3.9788392,,-1,True,-1,5,0.9633830401943536,"rationale, implies, representations, engineering, argumentation, communication, influence, capture",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': -1, 'distance': 0.6585211275629625}, {'paper_id': '6d339b25d458', 'title': 'Shared Mental Models for Collaborative Mechanical Design in Mechanical Engineering', 'cluster': -1, 'distance': 0.6616042009171611}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': -1, 'distance': 0.662387084999124}, {'paper_id': 'ab97fa9e6ec7', 'title': '""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""', 'cluster': -1, 'distance': 0.7090717392303028}, {'paper_id': '16b7f7939f93', 'title': 'Characterizing Design Rationales Using Computational Linguistics and Human Evaluations', 'cluster': -1, 'distance': 0.7246901767871157}]",,,
a60240423604,"Reviewing the state-of-the-art design rationale definitions, representations and capabilities","Sagoo, J. (1); Tiwari, A. (1); Alcock, J. (1)","This paper aims to identify how researchers have defined the concept of design rationale, report on the state-of-the-art design rationale representations and categorise the capabilities that design rationale currently has to offer. To guide this review of the literature, three research questions have been posed each addressing the specified aims of this paper. Design rationale is inherently linked to the explanation of a set of reasons or a logical basis for a course of action in the generic context of design. New methods for representing design rationale have been developed since year 2000, many extending the seminal issue-based information system method. There are 13 categories of design rationale capabilities that have been identified in this review.",10.1504/IJDE.2014.062377,,International Journal of Design Engineering,,Design rationale,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Explicitly reviews how researchers define design rationale and categorizes its representations and capabilities from prior literature, satisfying both C2 and C3.","This is explicitly a literature review that identifies definitions, reviews representations, and categorizes capabilities of design rationale, and it also states a definition of the concept in the abstract.",False,,0,0,0,False,0,0,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-3.2570477,3.933636,,-1,True,-1,5,0.9558614040375673,"rationale, implies, representations, engineering, argumentation, communication, influence, capture",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': -1, 'distance': 0.6054037843740278}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': -1, 'distance': 0.623669960540341}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': -1, 'distance': 0.695326731030397}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': -1, 'distance': 0.727178427794708}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': -1, 'distance': 0.7839464794153548}]",,,
19c286f4e44f,Scientific design rationale,"Haynes, Steven R. (1, 2); Bach, Paula M. (1); Carroll, John M. (1)","Design rationale should be regarded both as a tool for the practice of design, and as a method to enable the science of design. Design rationale answers questions about why a given design takes the form that it does. Answers to these why questions represent a significant portion of the knowledge generated from design research. This knowledge, along with that from empirical studies of designs in use, contributes to what Simon called the sciences of the artificial. Most research on the nature and use of design rationale has been analytic or theoretical. In this article, we describe an empirical study of the roles that design rationale can play in the conduct of design research. We report results from an interview study with 16 design researchers investigating how they construe and carry out design as research. The results include an integrated framework of the affordances design rationale can contribute to design research. The framework and supporting qualitative data provide insight into how design rationale might be more effectively leveraged as a first-class methodology for research into the creation and use of artifacts. Copyright © 2008 Cambridge University Press.",10.1017/S0890060408000243,2008.0,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,Design rationale,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Treats design rationale as the object of study, discussing it as knowledge from design research and likely defining it, satisfying C2 and plausibly C3.","Focuses on design rationale as a knowledge-generating concept and reports empirical work, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed.",False,,0,0,0,False,0,0,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-3.8878186,3.814437,,-1,True,-1,5,0.5765448437458062,"rationale, implies, representations, engineering, argumentation, communication, influence, capture",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': -1, 'distance': 0.6054037843740278}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': -1, 'distance': 0.6781146030460696}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': -1, 'distance': 0.7537291744823614}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': -1, 'distance': 0.7667131815293708}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': -1, 'distance': 0.7805374199991693}]",,,
40034332988c,Redesigning the rationale for design rationale,"Atwood, Michael E. (1); Horner, John (1)","One goal of design rationale systems is to support designers by providing a means to record and communicate the argumentation and reasoning behind the design process. However, there are several inherent limitations to developing systems that effectively capture and utilize design rationale. The dynamic and contextual nature of design and our inability to exhaustively analyze all possible design issues results in cognitive, capture, retrieval, and usage limitations. In addition, there are the organizational limitations that ensue when systems are deployed. In this paper we analyze the essential problems that prevent the successful development and use of design rationale systems. We argue that useful and effective design rationale systems cannot be built unless we carefully redefine the goal of design rationale systems. © Springer-Verlag Berlin Heidelberg 2007.",10.1007/978-3-540-73105-4_2,2007.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,Design rationale,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Analyzes essential limitations of design rationale systems as its topic and likely characterizes/defines design rationale, satisfying C2 and plausibly C3, but full text needed to confirm definition.","Analyzes essential limitations of design rationale systems and the contextual nature of design rationale as the topic of study, suggesting a conceptual synthesis/categorization, but the abstract does not clearly state an explicit definition.",False,,0,0,0,False,0,0,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-3.5419247,2.115931,,-1,True,-1,1,0.9883946266940244,"rationale, claims, capture, limitations, usage, means, communicate, record",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '9378ab34b041', 'title': 'Redesigning the rationale for design rationale', 'cluster': -1, 'distance': 0.0}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': -1, 'distance': 0.8141190980235753}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': -1, 'distance': 0.8522960290014772}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': -1, 'distance': 0.8560161189000317}, {'paper_id': 'ab97fa9e6ec7', 'title': '""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""', 'cluster': -1, 'distance': 0.8676800187789372}]",,,
9378ab34b041,Redesigning the rationale for design rationale,"Atwood, M.E. (1); Horner, J. (1)","One goal of design rationale systems is to support designers by providing a means to record and communicate the argumentation and reasoning behind the design process. However, there are several inherent limitations to developing systems that effectively capture and utilize design rationale. The dynamic and contextual nature of design and our inability to exhaustively analyze all possible design issues results in cognitive, capture, retrieval, and usage limitations. In addition, there are the organizational limitations that ensue when systems are deployed. In this paper we analyze the essential problems that prevent the successful development and use of design rationale systems. We argue that useful and effective design rationale systems cannot be built unless we carefully redefine the goal of design rationale systems.",,,"Human-Computer Interaction - Interaction Design and Usability. Proceedings 12th International Conference, HCI International 2007",,Design rationale,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Duplicate of prior entry; analyzes limitations of design rationale as topic and likely characterizes/defines it, satisfying C2 and plausibly C3, flagged for full-text confirmation.","Analyzes essential limitations of design rationale systems and the contextual nature of design rationale as the topic of study, suggesting a conceptual synthesis/categorization, but the abstract does not clearly state an explicit definition.",False,,0,0,0,False,0,0,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-3.8977609,2.4453697,,-1,True,-1,1,0.9883946266940244,"rationale, claims, capture, limitations, usage, means, communicate, record",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '40034332988c', 'title': 'Redesigning the rationale for design rationale', 'cluster': -1, 'distance': 0.0}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': -1, 'distance': 0.8141190980235753}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': -1, 'distance': 0.8522960290014772}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': -1, 'distance': 0.8560161189000317}, {'paper_id': 'ab97fa9e6ec7', 'title': '""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""', 'cluster': -1, 'distance': 0.8676800187789372}]",,,
16b7f7939f93,Characterizing Design Rationales Using Computational Linguistics and Human Evaluations,"Mirabito, Yakira (1); Liu, Xiaowen (2); Goucher-Lambert, Kosa (1)","Design rationales capture the explicit justifications behind design decisions. Often, rationales vary in the content and depth of information, making the study and comparison of rationales challenging. This project aims to characterize design rationales and develop a standardized approach to assess design rationale quality at scale. In total, 2250 rationales were machine-generated across two different representations and evaluated by two raters across five dimensions of quality. Rationales were then characterized using natural language processing techniques, resulting in 108 linguistic features for each rationale. The linguistic features were used to build predictive models for each quality dimension. The main results identify correlations between linguistic features and human evaluations, show that structured rationales were rated higher than unstructured rationales across the five dimensions, and present a model to predict rationale quality for new texts. These findings help inform strategies to improve human- and machine-generated rationales. The predictive tool offers a scalable method for evaluating different representations of rationale, thereby supporting more effective documentation practices. © 2025 by ASME.",10.1115/1.4069232,2025.0,Journal of Mechanical Design,,Design rationale,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Characterizes design rationales and develops a standardized approach to assess their quality, treating the construct as the object of study and likely defining/operationalizing rationale dimensions; flagged to confirm C2/C3 in full text.","Evaluates the usefulness of a design rationale system in practice; design rationale is central, but the abstract does not confirm synthesis from prior work or an explicit definition, so full text is needed.",False,,0,0,0,False,0,0,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-2.4595685,3.0183668,,-1,True,-1,2,0.9665878486779488,"rationale, capture, reuse, software, documentation, computer, history, representations",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': -1, 'distance': 0.7246901767871157}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': -1, 'distance': 0.8521350316032341}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': -1, 'distance': 0.8542754139791227}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': -1, 'distance': 0.8789404331709553}, {'paper_id': 'edde6dc75b19', 'title': 'The language of design: Theory and computation', 'cluster': -1, 'distance': 0.8952811230035979}]",,,
0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)","Design rationale is a topic that implies different things to different people. To some it implies argumentation and frameworks for argumentation. To others it implies the documentation of design, like that required for many types of industrial or government work. Still others describe design rationale as the capture and potential reuse of nodal communication about design. These perspectives of design rationale use different representations, which influence their ability to capture and to retrieve and use information. We propose an integrated approach to design rationale where design communication is captured and, over time, incrementally structured into argumentation and other formalisms to enable improved retrieval and use of this information. Two systems, PHIDIAS and the Hyper-Object Substrate, are used to demonstrate: (1) how to capture and integrate a variety of design information, (2) how to support the structuring of unstructured information, and (3) how to use design information to actively support design.",,1997.0,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,Design rationale,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Explicitly synthesizes differing perspectives on design rationale and proposes an integrated definitional approach, satisfying C2 and likely C3 about the construct of design rationale.","The paper treats design rationale as the topic and mentions integrating multiple perspectives, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed.",False,,0,0,0,False,0,0,Design rationale,tfidf-svd,method,hdbscan,-1,noise / outliers,-3.3923888,3.3521206,,-1,True,-1,5,0.9877193919160532,"rationale, implies, representations, engineering, argumentation, communication, influence, capture",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '4c8bdfbd1309', 'title': 'Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication', 'cluster': -1, 'distance': 0.013138760777072878}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': -1, 'distance': 0.743132261902159}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': -1, 'distance': 0.7505878826245937}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': -1, 'distance': 0.8157276791583643}, {'paper_id': '866d8935b9e0', 'title': 'Issues critical to the development of design history, design rationale and design intent systems', 'cluster': -1, 'distance': 0.8344188895025386}]",,,
