keyword,cluster_id,paper_count,assignment_status,interpretation_status,statistical_descriptor_not_final_label,top_terms
Design Guidelines,DG-C01,14,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; visualization; ui,design | visualization | ui | knowledge | task | tacit | ux | tacit knowledge | game | guidelines | draco | framework | value | interaction | gamification
Design Guidelines,DG-C02,15,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; guidelines; ja,design | guidelines | ja | rural | language | sra | geo | user | interim | hri | design guidelines | healthy | eo | principles | dashboard
Design Heuristics,DH-C01,11,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; heuristics; heuristic,design | heuristics | heuristic | design heuristics | patterns | knowledge | product | pattern | concepts | problem | use | et | et al | designers | al
Design Heuristics,DH-C02,3,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; formats; communication,design | formats | communication | communication formats | meta | end | dialogue | use | users | taxonomy | meta design | assistive | product | people | time
Design Patterns,DPAT-C01,38,numeric_rule_failed_requires_review,provisional_pending_cluster_review,patterns; design; pattern,patterns | design | pattern | design patterns | ai | systems | interaction | pattern language | language | dark | alexander | robot | legal | interactions | human
Design Patterns,DPAT-C02,53,numeric_rule_failed_requires_review,provisional_pending_cluster_review,patterns; design; pattern,patterns | design | pattern | design patterns | software | knowledge | architecture | model | security | design pattern | problem | use | architectural | used | object
Design Patterns,DPAT-C03,11,numeric_rule_failed_requires_review,provisional_pending_cluster_review,game; visualization; design,game | visualization | design | visualizations | game design | patterns | games | player | visual | weapon | achievements | mechanics | gameplay | atlases | design patterns
Design Procedures,DPROC-C01,2,single_group_below_clustering_threshold,provisional_pending_cluster_review,restoration; fuzzy; stream,restoration | fuzzy | stream | design | stream restoration | systems | output | stability | feedback | fuzzy systems | direct | direct feedback | output direct | restoration design | controller
Design Rules,DRUL-C01,3,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; eudaimonic; lego,design | eudaimonic | lego | fdm | prototyping | hybrid | tissue | user | hybrid prototyping | systems | mechanical | rules | stretchable | skin | printing
Design Rules,DRUL-C02,9,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; rules; modular,design | rules | modular | technical | modularity | organizational | design rules | architecture | modules | chapter | systems | processes | baldwin | knowledge | components
Design expertise,DE-C01,4,single_group_below_clustering_threshold,provisional_pending_cluster_review,design; knowledge; expertise,design | knowledge | expertise | students | theory | hci | expert | ertmer | designers | education | instructional | et | et al | al | id
Design frameworks,DF-C01,3,numerically_selected_pending_human_veto,provisional_pending_cluster_review,design; learning; service,design | learning | service | ai | activities | et al | et | al | participants | learning activities | relational | experiencing | vulnerability | learning design | framework
Design frameworks,DF-C02,4,numerically_selected_pending_human_veto,provisional_pending_cluster_review,game; design; game design,game | design | game design | games | player | frameworks | systemic design | systemic | learning | personalization | aspects | dynamics | mda | experience | components
Design knowledge,DK-C01,58,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; knowledge; principles,design | knowledge | principles | design principles | research | design knowledge | theory | science | design science | patterns | data | principle | et | et al | al
Design knowledge,DK-C02,54,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; knowledge; design knowledge,design | knowledge | design knowledge | dsr | research | product | process | level | model | designers | design research | theory | et | object | al
Design knowledge,DK-C03,9,numeric_rule_failed_requires_review,provisional_pending_cluster_review,hci; hci design; design,hci | hci design | design | knowledge | edps | hci edps | design knowledge | practice | design practice | declarative | procedural | principles | hci engineering | models methods | models
Design methods,DM-C01,19,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; methods; method,design | methods | method | design methods | knowledge | value | research | gamification | visualization | use | process | commissioning | systemic | business models | business
Design methods,DM-C02,10,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; methods; human,design | methods | human | empathy | ll | children | autobiographical | autobiographical design | users | embodied | user | method | ai | designers | role playing
Design methods,DM-C03,9,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; theory; knowledge,design | theory | knowledge | methods | rock | architecture | complexity | engineering | research | systems | rock engineering | design theory | building | interactive | process
Design principles,DPRI-C01,13,numerically_selected_pending_human_veto,provisional_pending_cluster_review,design; principles; data,design | principles | data | industrie | heuristics | eid | obligations | problem | flix | knowledge | data analysis | design principles | interface | analysis | human
Design principles,DPRI-C02,8,numerically_selected_pending_human_veto,provisional_pending_cluster_review,design; vr; games,design | vr | games | learning | identity | cyberbullying | principles | learners | social | game | disclaimers | player | multisensory | artificial | llm
Design rationale,DRAT-C01,14,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; rationale; design rationale,design | rationale | design rationale | information | method | use | knowledge | intent | design intent | based | model | process | argumentation | software | systems
Design rationale,DRAT-C02,10,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; rationale; rationales,design | rationale | rationales | design rationale | quality | design rationales | dr | visual | notations | fse | model | advice | information | process | representations
Design theory,DT-C01,30,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; theory; knowledge,design | theory | knowledge | systems | process | research | product | management | problem | health | model | concept | engineering | software | design theory
Design theory,DT-C02,38,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; theory; theories,design | theory | theories | knowledge | design theory | research | theoretical | practice | sonification | game | al | et | et al | design theories | soniﬁcation
Design theory,DT-C03,17,numeric_rule_failed_requires_review,provisional_pending_cluster_review,design; theory; information,design | theory | information | design theory | service | theories | systems | instructional | learning | information systems | isdt | research | et al | principles | al
