keyword,cluster_id,paper_count,assignment_status,interpretation_status,statistical_descriptor_not_final_label,top_terms,representative_paper_ids,representative_titles,representative_passage_ids,maximum_sibling_top10_jaccard
Design Guidelines,DG-C01,3,numeric_rule_failed_requires_review,provisional_pending_cluster_review,user interface; tacit; visualization,user interface | tacit | visualization | component | instances | constraints | characteristics | support | violation | tools | designers | uis-hunter | actions | material | smell,00d7fbafe65f | ee0a5b26f6dc | f0b2517a04a4,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines | Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco | Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines",00d7fbafe65f_p0072 | f0b2517a04a4_p0072 | ee0a5b26f6dc_p0149,0.1111111111111111
Design Guidelines,DG-C02,4,numeric_rule_failed_requires_review,provisional_pending_cluster_review,rural; user; geo-portals,rural | user | geo-portals | development | sidewalks | user experience | planning | rural development | map-based | requirements | people | experience | map-based geo-portals | village | factors,0ef759265f23 | 0176348439b8 | cb7daae2b94f | 866322a64dc5,The equitable use concept in sidewalk design | A Comparative Study of Chinese and American Rural Design Guidelines | User Experience Design in Professional Map-Based Geo-Portals | Healthy Eating Design Guidelines for School Architecture,0176348439b8_p0004 | cb7daae2b94f_p0005 | 0ef759265f23_p0013,0.0
Design Guidelines,DG-C03,6,numeric_rule_failed_requires_review,provisional_pending_cluster_review,experience; visualization; HCI,experience | visualization | HCI | interaction | users | gratifications | immersive | media | data | aesthetics | participants | techniques | digital | context | theory,615169de6f0e | 75f43821c56f | 0842498049c7 | 65c31c577170 | d0a17557440f,From interaction to trajectories: designing coherent journeys through user experiences | Towards a Model of Information Aesthetics in Information Visualization | The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers | The Rough Mile: Testing a Framework of Immersive Practice | Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,0842498049c7_p0005 | 65c31c577170_p0011 | ca185d91b684_p0004,0.05263157894736842
Design Guidelines,DG-C04,9,numeric_rule_failed_requires_review,provisional_pending_cluster_review,task; language; software,task | language | software | architecture | domain | specific | tools | user interface | types | modeling | proposed | elements | definitions | principles | provide,139a1e71d8dc | c216cc01fe23 | b14f85b19a87 | b357bc5a3d3b | 48af90d5dfe7,Separation of Modeling Principles and Design Principles in Enterprise Engineering | A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions | Design Study Methodology: Reflections from the Trenches and the Stacks | Towards Canonical Task Types for User Interface Design | Design Guidelines for Domain Specific Languages,9020aa145571_p0039 | 48af90d5dfe7_p0006 | b357bc5a3d3b_p0020,0.1111111111111111
Design Heuristics,DH-C01,7,numerically_selected_pending_human_veto,provisional_pending_cluster_review,product; designers; concepts,product | designers | concepts | example | generation | observed | idea | solutions | dhsfx | form | specific | development | possible | risk | help,9f4dbd790fe7 | cdd6de21b74b | 022ee7cf2e4e | 7cb073ebacac | 0512599e76df,Design Heuristics in Innovative Products | Evidence-based design heuristics for idea generation | Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization | Formal system for the expression of target-oriented design heuristics | What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,cdd6de21b74b_p0009 | cd211147691a_p0081 | 9f4dbd790fe7_p0057,0.05263157894736842
Design Heuristics,DH-C02,3,numerically_selected_pending_human_veto,provisional_pending_cluster_review,formats; communication; communication formats,formats | communication | communication formats | time | people | dialogue | industrial | product | users | technology | designers | human | taxonomy | development | assistive,0cbc36913472 | c6955d14d66c | 994d28d55eb8,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception | Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception | From human factors to human actors to human crafters,0cbc36913472_p0019 | c6955d14d66c_p0019 | 994d28d55eb8_p0007,0.05263157894736842
Design Patterns,DPAT-C01,14,numeric_rule_failed_requires_review,provisional_pending_cluster_review,game; AI; alexander,game | AI | alexander | interaction | achievements | engineering | quality | software | human | nature | experience | example | ai-based | practice | collection,8393d36cff90 | 79abc1449981 | 7d99b05f405e | 2efb92894924 | 1151f6830f77,An overview of human-computer interaction patterns in pervasive systems | Thriving Systems Theory: An Emergent Information Systems Design Theory | Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository | Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems | Design patterns in intelligent systems,09055cc69e8c_p0005 | 3a87795ac48c_p0016 | 7d99b05f405e_p0003,0.1111111111111111
Design Patterns,DPAT-C02,15,numeric_rule_failed_requires_review,provisional_pending_cluster_review,language; context; solutions,language | context | solutions | domain | software | interaction | management | creation | teachers | fluent | learning | specific | designers | development | example,242644458c6e | b967c3a334ff | 77ba97562fe7 | 098c9db1090d | 35874d939f8d,"A pattern approach to interaction design | Industrial experience with design patterns | Teachers’ Collaborative Pattern Language Design | A semantic representation for domain-specific patterns | Patterns, anticipation and participatory futures",4000c6073b5d_p0003 | 77ba97562fe7_p0059 | cd42a6611470_p0008,0.1111111111111111
Design Patterns,DPAT-C03,21,numeric_rule_failed_requires_review,provisional_pending_cluster_review,software; visualization; architecture,software | visualization | architecture | modeling | structural | specific | example | structure | class | abstraction | formal | application | composition | development | device,774e05395765 | f1a4dde3d156 | 677c4dc89d1d | bc6d0afdec8f | b9f64070ed9a,Understanding and using patterns in software development | Catalogue of general-purpose software design patterns | Elemental design patterns: A formal semantics for composition of OO software architecture | Design patterns for component-oriented software development | “Modeling-by-Patterns” of Web applications,287b2d823523_p0010 | 774e05395765_p0056 | 1fda49b32463_p0005,0.05263157894736842
Design Procedures,DPROC-C01,1,single_group_below_clustering_threshold,provisional_pending_cluster_review,restoration; stream; stream restoration,restoration | stream | stream restoration | plan | water | phase | proposed | integrated | river | ecological | detailed | river restoration | presented | restoration phase | developed,6ea89aad84f6,Development of Sustainable Integrated Design Framework for Stream Restoration,6ea89aad84f6_p0076,0.0
